Month,Posting Date,No Of Trans,Settlement Currency,Settlement Amount,Terminal Capability,Clearing Service,Payment Product,Fee Tier,Region,Fee %,Base,Fee Maximum,Comm. Amt,FPI,Acquirer BIN/ICA,Geographical Location,Fee No.,CardType,Region,Assessments,Service Charge,Total Fees
2/28/15,20/02/2015,2,CAD,-800,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,-2.35,  BU4,424469,Sub-Regional - Foreign - EEA,500047639,Credit,Europe,-0.31,1.35,-1.31
2/28/15,20/02/2015,1,CAD,141.75,"""eCommerce""",Clr VISA Int.,Cl - Visa Platinum,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,0.42,  BU4,424469,Sub-Regional - Foreign - EEA,500047631,Credit,Europe,0.09,0.68,1.18
2/28/15,22/02/2015,1,CAD,-300,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General,Foreign - EEA,0.18,EUR 0.0250,0,-0.58,  BI6,4441,Sub-Regional - Foreign - EEA,500025663,Credit,Europe,-0.33,0.68,-0.24
2/28/15,22/02/2015,2,CAD,1295,"""eCommerce""",Clr VISA Int.,Cl - Visa Platinum,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,3.81,  BU4,424469,Sub-Regional - Foreign - EEA,500047631,Credit,Europe,0.58,1.35,5.74
2/28/15,24/02/2015,2,CAD,3689.88,"""eCommerce""",Clr Mastercard Int,Cl - MC New World,General,Foreign - EEA,0.87,EUR 0.0000,0,32.11,  NN8,4441,Sub-Regional - Foreign - EEA,500055493,Credit,Europe,4.68,1.35,38.14
2/28/15,24/02/2015,1,CAD,2339.6,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - NEEA-EEA,0.29,EUR 0.0200,0,6.8,  59W,424469,Sub-Regional - Foreign - NEEA-EEA,500066001,Credit,Europe,1.02,0.68,8.49
2/28/15,27/02/2015,8,CAD,6783.12,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - EEA,0.18,EUR 0.0250,0,12.5,  BI6,4441,Sub-Regional - Foreign - EEA,500025660,Credit,Europe,8.56,5.4,26.46
2/28/15,1/2/15,1,CAD,3257.86,"""eCommerce""",Clr Mastercard Int,Cl - MC New World,General,Foreign - EEA,0.87,EUR 0.0000,0,28.34,  NN8,4441,Sub-Regional - Foreign - EEA,500055493,Credit,Europe,4.13,0.68,33.15
2/28/15,3/2/15,2,CAD,2737.15,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,8.03,  BU4,424469,Sub-Regional - Foreign - EEA,500047639,Credit,Europe,1.19,1.35,10.57
2/28/15,4/2/15,6,CAD,6997.49,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,20.52,  BU4,424469,Sub-Regional - Foreign - EEA,500047639,Credit,Europe,3,4.05,27.57
2/28/15,6/2/15,1,CAD,-200,"""eCommerce""",Clr VISA Int.,Cl - Visa Platinum,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,-0.61,  BU4,424469,Sub-Regional - Foreign - EEA,500047631,Credit,Europe,-0.06,0.68,0.01
2/28/15,8/2/15,13,CAD,8985.25,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,26.3,  BU4,424469,Sub-Regional - Foreign - EEA,500047639,Credit,Europe,3.84,8.78,38.92
2/28/15,8/2/15,2,CAD,120,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General,Foreign - EEA,0.18,EUR 0.0250,0,0.31,  BI6,4441,Sub-Regional - Foreign - EEA,500025663,Credit,Europe,0.2,1.35,1.86
2/28/15,9/2/15,8,CAD,5844,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - EEA,0.18,EUR 0.0250,0,10.87,  BI6,4441,Sub-Regional - Foreign - EEA,500025660,Credit,Europe,7.38,5.4,23.65
2/28/15,10/2/15,1,CAD,-500,"""eCommerce""",Clr Mastercard Int,Cl - MC New World,General,Foreign - EEA,0.87,EUR 0.0000,0,-4.36,  NN8,4441,Sub-Regional - Foreign - EEA,500055493,Credit,Europe,-0.58,0.68,-4.27
2/28/15,9/2/15,4,CAD,3411.22,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,9.97,  BU4,424469,Sub-Regional - Foreign - EEA,500047639,Credit,Europe,1.48,2.7,14.15
2/28/15,11/2/15,1,CAD,-500,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,-1.47,  BU4,424469,Sub-Regional - Foreign - EEA,500047639,Credit,Europe,-0.19,0.68,-0.98
2/28/15,12/2/15,1,CAD,200,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General,Foreign - EEA,0.18,EUR 0.0250,0,0.41,  BI6,4441,Sub-Regional - Foreign - EEA,500025663,Credit,Europe,0.3,0.68,1.38
2/28/15,12/2/15,1,CAD,400,"""eCommerce""",Clr Mastercard Int,All Services,General,Foreign - EEA,0.17,EUR 0.0250,0,0.71,  NN3,4441,Sub-Regional - Foreign - EEA,3853309999,Debit,Europe,0.55,0.68,1.93
2/28/15,12/2/15,3,CAD,1655,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,4.86,  BU4,424469,Sub-Regional - Foreign - EEA,500047639,Credit,Europe,0.73,2.03,7.61
2/28/15,12/2/15,1,CAD,-300,"""eCommerce""",Clr Mastercard Int,Cl - EC Corp,General,Foreign - EEA,1.9,EUR 0.0000,0,-5.7,  BJ8,4441,Sub-Regional - Foreign - EEA,3087861699,Credit,Europe,-0.33,0.68,-5.36
2/28/15,13/02/2015,1,CAD,-350,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - EEA,0.18,EUR 0.0250,0,-0.67,  BI6,4441,Sub-Regional - Foreign - EEA,500025660,Credit,Europe,-0.39,0.68,-0.39
2/28/15,15/02/2015,1,CAD,670,"""eCommerce""",Clr VISA Int.,Cl - Visa Platinum,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,1.96,  BU4,424469,Sub-Regional - Foreign - EEA,500047631,Credit,Europe,0.31,0.68,2.95
2/28/15,15/02/2015,2,CAD,2660,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign Western,1.2,EUR 0.0000,0,31.91,  A11,4441,Sub-Regional - Foreign Western,1042700699,Credit,Rest,17.3,1.35,50.56
2/28/15,16/02/2015,2,CAD,1329.95,"""eCommerce""",Clr VISA Int.,Cl - Visa Platinum,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,3.9,  BU4,424469,Sub-Regional - Foreign - EEA,500047631,Credit,Europe,0.59,1.35,5.84
